Ano Mês Início,Letra CID,Pericia (Qtde Proc. Concedida)
202401,A,165
202402,A,307
202403,A,405
202404,A,451
202405,A,333
202406,A,144
202407,A,61
202408,A,56
202401,B,257
202402,B,572
202403,B,198
202404,B,95
202405,B,46
202406,B,42
202407,B,64
202408,B,158
202401,C,36
202402,C,52
202403,C,44
202404,C,51
202405,C,42
202406,C,43
202407,C,30
202408,C,29
202401,D,28
202402,D,18
202403,D,30
202404,D,18
202405,D,24
202406,D,21
202407,D,29
202408,D,13
202409,D,1
202401,E,17
202402,E,18
202403,E,17
202404,E,13
202405,E,22
202406,E,29
202407,E,11
202408,E,14
202401,F,491
202402,F,479
202403,F,552
202404,F,556
202405,F,512
202406,F,394
202407,F,343
202408,F,364
202409,F,3
202401,G,41
202402,G,29
202403,G,33
202404,G,42
202405,G,39
202406,G,36
202407,G,23
202408,G,17
202409,G,1
202401,H,80
202402,H,68
202403,H,84
202404,H,94
202405,H,68
202406,H,95
202407,H,58
202408,H,51
202401,I,54
202402,I,70
202403,I,66
202404,I,74
202405,I,81
202406,I,78
202407,I,61
202408,I,37
202401,J,88
202402,J,89
202403,J,89
202404,J,276
202405,J,206
202406,J,143
202407,J,88
202408,J,60
202401,K,86
202402,K,80
202403,K,107
202404,K,103
202405,K,104
202406,K,111
202407,K,66
202408,K,50
202401,L,21
202402,L,15
202403,L,11
202404,L,17
202405,L,14
202406,L,15
202407,L,12
202408,L,9
202409,L,1
202401,M,260
202402,M,228
202403,M,270
202404,M,284
202405,M,237
202406,M,233
202407,M,136
202408,M,129
202401,N,43
202402,N,64
202403,N,76
202404,N,97
202405,N,87
202406,N,77
202407,N,61
202408,N,39
202401,O,44
202402,O,43
202403,O,46
202404,O,43
202405,O,43
202406,O,31
202407,O,39
202408,O,25
202402,P,2
202404,P,2
202406,P,1
202407,P,1
202401,Q,2
202402,Q,1
202403,Q,6
202404,Q,3
202405,Q,3
202406,Q,3
202407,Q,3
202408,Q,2
202401,R,56
202402,R,50
202403,R,62
202404,R,82
202405,R,57
202406,R,49
202407,R,38
202408,R,32
202401,S,108
202402,S,111
202403,S,126
202404,S,157
202405,S,130
202406,S,116
202407,S,113
202408,S,73
202401,T,14
202402,T,18
202403,T,24
202404,T,23
202405,T,15
202406,T,12
202407,T,21
202408,T,6
202401,V,2
202402,V,1
202403,V,1
202405,V,2
202406,V,2
202407,V,2
202408,V,1
202401,W,1
202402,W,1
202403,W,1
202405,W,1
202408,W,1
202403,X,1
202406,X,1
202402,Y,1
202403,Y,2
202404,Y,1
202406,Y,1
202401,Z,287
202402,Z,354
202403,Z,338
202404,Z,412
202405,Z,360
202406,Z,341
202407,Z,238
202408,Z,192
202409,Z,1
